id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
16170,Firenze / Peretola,IT,TC,16170,LIRQ,43.8,11.2,40.0,Europe/Rome,1931-01-02,2022-01-08,1976-05-11,2022-01-05,2016-01-01,2021-01-01,5579.232187167186
16136,Passo Porretta,IT,TC,16136,,44.0167,11.0,1313.0,Europe/Rome,,,,,,,34244.621054503696
LIQD0,Passo Dellaporretta / Porretta Pass / San Momme,IT,TC,,LIQD,44.0333,10.9333,932.0,Europe/Rome,1990-10-18,1994-08-16,1991-04-03,1994-04-19,,,39047.5921949229
LIQS0,Siena,IT,TC,,LIQS,43.3167,11.35,322.0,Europe/Rome,1944-10-04,1945-01-16,1944-10-05,1945-01-15,1944-01-01,1944-01-01,50961.81343521088
16164,Volterra,IT,TC,16164,LIQV,43.4,10.8667,555.0,Europe/Rome,1973-01-01,2017-07-07,,,,,51696.557884909475
16172,Arezzo,IT,TC,16172,LIQB,43.4667,11.85,248.0,Europe/Rome,1978-09-14,2021-12-17,1990-03-16,2017-12-18,2016-01-01,2017-01-01,58533.136397164846
16134,Monte Cimone,IT,ER,16134,LIVC,44.2,10.7,2165.0,Europe/Rome,1965-02-01,2022-01-08,1951-01-01,2022-01-05,1951-01-01,2021-01-01,65293.934773979716
16158,Pisa / S. Giusto,IT,TC,16158,LIRP,43.6833,10.3833,2.0,Europe/Rome,1944-11-24,2022-01-08,1944-11-24,2022-01-05,1945-01-01,2021-01-01,70748.98419592709
16147,Forli,IT,ER,16147,LIPK,44.2,12.0667,27.0,Europe/Rome,1973-01-01,2022-01-07,1973-01-24,2012-05-05,,,80615.68886601806
16132,Bologna / Borgo Panigale,IT,ER,16132,,44.5275,11.2886,51.0,Europe/Rome,2005-07-27,2021-12-18,2005-07-31,2021-12-17,,,84285.67162694002
